IE_XML_ID;IE_NAME;IC_GROUP0;IC_GROUP1;IC_GROUP2;CR_PRICE_1_USD
64043;Термошкаф  VT-120200800-1200;Термошкафы ITProm;Серия VT;;3143.58
64044;Термошкаф  IB-4030150;Термошкафы ITProm;Серия IB;;302.93
64045;Термошкаф  IB-3040150;Термошкафы ITProm;Серия IB;;299.84
64046;Термошкаф  IB-5040150;Термошкафы ITProm;Серия IB;;341.57
64047;Термошкаф  IB-4060200-100;Термошкафы ITProm;Серия IB;;370.94
64048;Термошкаф  IB-5050200-100;Термошкафы ITProm;Серия IB;;377.12
64049;Термошкаф  IB-5070200-150;Термошкафы ITProm;Серия IB;;434.31
64050;Термошкаф  IB-6060200-150;Термошкафы ITProm;Серия IB;;431.22
64051;Термошкаф  IB-3030210-45;Термошкафы ITProm;Серия IB;;329.21
64052;Термошкаф  IB-3040210-45;Термошкафы ITProm;Серия IB;;344.66
64053;Термошкаф  IB-3830210-45;Термошкафы ITProm;Серия IB;;335.39
64054;Термошкаф  IB-3838210-100;Термошкафы ITProm;Серия IB;;344.66
64055;Термошкаф  IB-3860210-100;Термошкафы ITProm;Серия IB;;392.58
64056;Термошкаф  IB-4050210-100;Термошкафы ITProm;Серия IB;;383.3
64057;Термошкаф  IB-5050210-100;Термошкафы ITProm;Серия IB;;423.49
64058;Термошкаф  IB-6038210-100;Термошкафы ITProm;Серия IB;;409.58
64059;Термошкаф  IB-6060210-150;Термошкафы ITProm;Серия IB;;463.67
64060;Термошкаф  IB-6076210-150;Термошкафы ITProm;Серия IB;;533.23
64061;Термошкаф  IB-7676210-250;Термошкафы ITProm;Серия IB;;749.61
64062;Термошкаф  IB-10076210-250;Термошкафы ITProm;Серия IB;;1021.63
64063;Термошкаф  IB-4040250-100;Термошкафы ITProm;Серия IB;;142.19
64064;Термошкаф  IB-4050250-100;Термошкафы ITProm;Серия IB;;363.21
64065;Термошкаф  IB-4060250-100;Термошкафы ITProm;Серия IB;;392.58
64066;Термошкаф  IB-4065250-150;Термошкафы ITProm;Серия IB;;148.38
64067;Термошкаф  IB-5070250-150;Термошкафы ITProm;Серия IB;;451.31
64068;Термошкаф  IB-6060250-150;Термошкафы ITProm;Серия IB;;477.59
64069;Термошкаф  IB-6080250-250;Термошкафы ITProm;Серия IB;;639.87
64070;Термошкаф  IB-60100250-250;Термошкафы ITProm;Серия IB;;707.88
64071;Термошкаф  IB-6565250-250;Термошкафы ITProm;Серия IB;;159.2
64072;Термошкаф  IB-4080300-150;Термошкафы ITProm;Серия IB;;156.1
64073;Термошкаф  IB-5050300-100;Термошкафы ITProm;Серия IB;;505.41
64074;Термошкаф  IB-6060300-150;Термошкафы ITProm;Серия IB;;471.4
64075;Термошкаф  IB-6080300-250;Термошкафы ITProm;Серия IB;;661.51
64076;Термошкаф  IB-60100300-250;Термошкафы ITProm;Серия IB;;752.7
64077;Термошкаф  IB-60120300-250;Термошкафы ITProm;Серия IB;;792.88
64078;Термошкаф  IB-7676300-250;Термошкафы ITProm;Серия IB;;774.34
64079;Термошкаф  IB-8060300-250;Термошкафы ITProm;Серия IB;;868.62
64080;Термошкаф  IB-8080300-250;Термошкафы ITProm;Серия IB;;754.24
64081;Термошкаф  IB-80100300-250;Термошкафы ITProm;Серия IB;;843.89
64082;Термошкаф  IB-80120300-400;Термошкафы ITProm;Серия IB;;979.9
64083;Термошкаф  IB-100100300-400;Термошкафы ITProm;Серия IB;;1069.54
64084;Термошкаф  IB-100120300-400;Термошкафы ITProm;Серия IB;;1233.38
64085;Термошкаф  IB-100140300-400;Термошкафы ITProm;Серия IB;;1415.75
64086;Термошкаф  IB-3860350-100;Термошкафы ITProm;Серия IB;;527.04
64087;Термошкаф  IB-6038350-100;Термошкафы ITProm;Серия IB;;539.41
64088;Термошкаф  IB-6060350-150;Термошкафы ITProm;Серия IB;;593.5
64089;Термошкаф  IB-6076350-250;Термошкафы ITProm;Серия IB;;780.52
64090;Термошкаф  IB-4060400-150;Термошкафы ITProm;Серия IB;;154.56
64091;Термошкаф  IB-6060400-150;Термошкафы ITProm;Серия IB;;540.95
64092;Термошкаф  IB-6080400-250;Термошкафы ITProm;Серия IB;;1021.63
64093;Термошкаф  IB-60100400-250;Термошкафы ITProm;Серия IB;;1139.09
64094;Термошкаф  IB-60120400-400;Термошкафы ITProm;Серия IB;;1222.56
64095;Термошкаф  IB-60180400-400;Термошкафы ITProm;Серия IB;;1721.78
64096;Термошкаф  IB-8080400-250;Термошкафы ITProm;Серия IB;;1267.38
64097;Термошкаф  IB-80100400-400;Термошкафы ITProm;Серия IB;;1279.74
64098;Термошкаф  IB-80120400-400;Термошкафы ITProm;Серия IB;;1287.47
64099;Термошкаф  IB-80180400-500;Термошкафы ITProm;Серия IB;;1885.61
64100;Термошкаф  IB-100120400-400;Термошкафы ITProm;Серия IB;;1610.5
64101;Термошкаф  IB-100140400-500;Термошкафы ITProm;Серия IB;;1899.52
64102;Термошкаф  IB-100180400-800;Термошкафы ITProm;Серия IB;;2483.75
64103;Термошкаф  IB-120120400-500;Термошкафы ITProm;Серия IB;;1757.33
64104;Термошкаф  IB-120180400-800;Термошкафы ITProm;Серия IB;;2571.85
64105;Термошкаф  IB-160180400-800;Термошкафы ITProm;Серия IB;;2955.15
64106;Термошкаф  IB-60120500-400;Термошкафы ITProm;Серия IB;;1675.41
64107;Термошкаф  IB-60140500-400;Термошкафы ITProm;Серия IB;;1701.69
64108;Термошкаф  IB-60160500-400;Термошкафы ITProm;Серия IB;;1782.06
64109;Термошкаф  IB-60200500-400;Термошкафы ITProm;Серия IB;;1893.34
64110;Термошкаф  IB-80120500-400;Термошкафы ITProm;Серия IB;;1783.6
64111;Термошкаф  IB-80140500-500;Термошкафы ITProm;Серия IB;;1808.33
64112;Термошкаф  IB-80160500-500;Термошкафы ITProm;Серия IB;;1890.25
64113;Термошкаф  IB-80200500-800;Термошкафы ITProm;Серия IB;;2194.73
64114;Термошкаф  IB-120120500-500;Термошкафы ITProm;Серия IB;;2278.19
64115;Термошкаф  IB-120140500-800;Термошкафы ITProm;Серия IB;;2517.75
64116;Термошкаф  IB-120160500-800;Термошкафы ITProm;Серия IB;;2641.4
64117;Термошкаф  IB-180200500-1200;Термошкафы ITProm;Серия IB;;3693.94
64118;Термошкаф  IB-60180600-500;Термошкафы ITProm;Серия IB;;1871.7
64119;Термошкаф  IB-60200600-800;Термошкафы ITProm;Серия IB;;2157.63
64120;Термошкаф  IB-60220600-800;Термошкафы ITProm;Серия IB;;2361.65
64121;Термошкаф  IB-80180600-800;Термошкафы ITProm;Серия IB;;2449.75
64122;Термошкаф  IB-80200600-800;Термошкафы ITProm;Серия IB;;2262.73
64123;Термошкаф  IB-80220600-800;Термошкафы ITProm;Серия IB;;2471.39
64124;Термошкаф  IB-100200600-800;Термошкафы ITProm;Серия IB;;2681.59
64125;Термошкаф  IB-120180600-800;Термошкафы ITProm;Серия IB;;2921.15
64126;Термошкаф  IB-120200600-1200;Термошкафы ITProm;Серия IB;;3004.61
64127;Термошкаф  IB-120220600-1200;Термошкафы ITProm;Серия IB;;3290.55
64128;Термошкаф  IB-60200800-800;Термошкафы ITProm;Серия IB;;2638.31
64129;Термошкаф  IB-80200800-800;Термошкафы ITProm;Серия IB;;2499.21
64130;Термошкаф  IB-120200800-1200;Термошкафы ITProm;Серия IB;;3398.74
64131;Термошкаф  IBL-3040200-45;Термошкафы ITProm;Серия IBL;;231.84
64132;Термошкаф  IBL-4040200-100;Термошкафы ITProm;Серия IBL;;251.93
64133;Термошкаф  IBL-4050200-100;Термошкафы ITProm;Серия IBL;;270.48
64134;Термошкаф  IBL-4060200-100;Термошкафы ITProm;Серия IBL;;295.21
64135;Термошкаф  IBL-5050200-100;Термошкафы ITProm;Серия IBL;;302.93
64136;Термошкаф  IBL-5070200-150;Термошкафы ITProm;Серия IBL;;358.58
64137;Термошкаф  IBL-6060200-150;Термошкафы ITProm;Серия IBL;;357.03
64138;Термошкаф  IBL-3030210-45;Термошкафы ITProm;Серия IBL;;255.02
64139;Термошкаф  IBL-3040210-45;Термошкафы ITProm;Серия IBL;;268.93
64140;Термошкаф  IBL-3830210-45;Термошкафы ITProm;Серия IBL;;259.66
64141;Термошкаф  IBL-3838210-100;Термошкафы ITProm;Серия IBL;;270.48
64142;Термошкаф  IBL-3860210-100;Термошкафы ITProm;Серия IBL;;316.84
64143;Термошкаф  IBL-4050210-100;Термошкафы ITProm;Серия IBL;;307.57
64144;Термошкаф  IBL-5050210-100;Термошкафы ITProm;Серия IBL;;347.76
64145;Термошкаф  IBL-6038210-100;Термошкафы ITProm;Серия IBL;;333.85
64146;Термошкаф  IBL-6060210-150;Термошкафы ITProm;Серия IBL;;387.94
64147;Термошкаф  IBL-6076210-150;Термошкафы ITProm;Серия IBL;;432.76
64148;Термошкаф  IBL-7676210-250;Термошкафы ITProm;Серия IBL;;939.71
64149;Термошкаф  IBL-10076210-250;Термошкафы ITProm;Серия IBL;;945.9
64150;Термошкаф  IBL-4040250-100;Термошкафы ITProm;Серия IBL;;66.46
64151;Термошкаф  IBL-4050250-100;Термошкафы ITProm;Серия IBL;;287.48
64152;Термошкаф  IBL-4060250-100;Термошкафы ITProm;Серия IBL;;316.84
64153;Термошкаф  IBL-4065250-150;Термошкафы ITProm;Серия IBL;;74.19
64154;Термошкаф  IBL-5070250-150;Термошкафы ITProm;Серия IBL;;375.58
64155;Термошкаф  IBL-6060250-150;Термошкафы ITProm;Серия IBL;;401.85
64156;Термошкаф  IBL-6080250-250;Термошкафы ITProm;Серия IBL;;564.14
64157;Термошкаф  IBL-60100250-250;Термошкафы ITProm;Серия IBL;;596.59
64158;Термошкаф  IBL-6565250-250;Термошкафы ITProm;Серия IBL;;85.01
64159;Термошкаф  IBL-4080300-150;Термошкафы ITProm;Серия IBL;;81.92
64160;Термошкаф  IBL-5050300-100;Термошкафы ITProm;Серия IBL;;429.67
64161;Термошкаф  IBL-6060300-150;Термошкафы ITProm;Серия IBL;;395.67
64162;Термошкаф  IBL-6080300-250;Термошкафы ITProm;Серия IBL;;587.32
64163;Термошкаф  IBL-60100300-250;Термошкафы ITProm;Серия IBL;;676.97
64164;Термошкаф  IBL-60120300-250;Термошкафы ITProm;Серия IBL;;718.7
64165;Термошкаф  IBL-7676300-250;Термошкафы ITProm;Серия IBL;;700.15
64166;Термошкаф  IBL-8060300-250;Термошкафы ITProm;Серия IBL;;792.88
64167;Термошкаф  IBL-8080300-250;Термошкафы ITProm;Серия IBL;;678.51
64168;Термошкаф  IBL-80100300-250;Термошкафы ITProm;Серия IBL;;768.15
64169;Термошкаф  IBL-80120300-400;Термошкафы ITProm;Серия IBL;;905.71
64170;Термошкаф  IBL-100100300-400;Термошкафы ITProm;Серия IBL;;995.36
64171;Термошкаф  IBL-100120300-400;Термошкафы ITProm;Серия IBL;;1159.19
64172;Термошкаф  IBL-100140300-400;Термошкафы ITProm;Серия IBL;;1340.02
64173;Термошкаф  IBL-3860350-100;Термошкафы ITProm;Серия IBL;;451.31
64174;Термошкаф  IBL-6038350-100;Термошкафы ITProm;Серия IBL;;465.22
64175;Термошкаф  IBL-6060350-150;Термошкафы ITProm;Серия IBL;;519.32
64176;Термошкаф  IBL-6076350-250;Термошкафы ITProm;Серия IBL;;704.79
64177;Термошкаф  IBL-4060400-150;Термошкафы ITProm;Серия IBL;;78.82
64178;Термошкаф  IBL-6060400-150;Термошкафы ITProm;Серия IBL;;465.22
64179;Термошкаф  IBL-6080400-250;Термошкафы ITProm;Серия IBL;;945.9
64180;Термошкаф  IBL-60100400-250;Термошкафы ITProm;Серия IBL;;1063.36
64181;Термошкаф  IBL-60120400-400;Термошкафы ITProm;Серия IBL;;1148.37
64182;Термошкаф  IBL-60180400-400;Термошкафы ITProm;Серия IBL;;1647.59
64183;Термошкаф  IBL-8080400-250;Термошкафы ITProm;Серия IBL;;1193.19
64184;Термошкаф  IBL-80100400-400;Термошкафы ITProm;Серия IBL;;1204.01
64185;Термошкаф  IBL-80120400-400;Термошкафы ITProm;Серия IBL;;1211.74
64186;Термошкаф  IBL-80180400-500;Термошкафы ITProm;Серия IBL;;1811.42
64187;Термошкаф  IBL-100120400-400;Термошкафы ITProm;Серия IBL;;1536.31
64188;Термошкаф  IBL-100140400-500;Термошкафы ITProm;Серия IBL;;1825.33
64189;Термошкаф  IBL-100180400-800;Термошкафы ITProm;Серия IBL;;2409.56
64190;Термошкаф  IBL-120120400-500;Термошкафы ITProm;Серия IBL;;1683.14
64191;Термошкаф  IBL-120180400-800;Термошкафы ITProm;Серия IBL;;2496.12
64192;Термошкаф  IBL-160180400-800;Термошкафы ITProm;Серия IBL;;2879.42
64193;Термошкаф  IBL-60120500-400;Термошкафы ITProm;Серия IBL;;1599.68
64194;Термошкаф  IBL-60140500-400;Термошкафы ITProm;Серия IBL;;1627.5
64195;Термошкаф  IBL-60160500-400;Термошкафы ITProm;Серия IBL;;1706.32
64196;Термошкаф  IBL-60200500-400;Термошкафы ITProm;Серия IBL;;1817.61
64197;Термошкаф  IBL-80120500-400;Термошкафы ITProm;Серия IBL;;1707.87
64198;Термошкаф  IBL-80140500-500;Термошкафы ITProm;Серия IBL;;1734.14
64199;Термошкаф  IBL-80160500-500;Термошкафы ITProm;Серия IBL;;1814.51
64200;Термошкаф  IBL-80200500-800;Термошкафы ITProm;Серия IBL;;2118.99
64201;Термошкаф  IBL-120120500-500;Термошкафы ITProm;Серия IBL;;2202.46
64202;Термошкаф  IBL-120140500-800;Термошкафы ITProm;Серия IBL;;2442.02
64203;Термошкаф  IBL-120160500-800;Термошкафы ITProm;Серия IBL;;2565.67
64204;Термошкаф  IBL-180200500-1200;Термошкафы ITProm;Серия IBL;;3619.75
64205;Термошкаф  IBL-60180600-500;Термошкафы ITProm;Серия IBL;;1795.97
64206;Термошкаф  IBL-60200600-800;Термошкафы ITProm;Серия IBL;;2081.9
64207;Термошкаф  IBL-60220600-800;Термошкафы ITProm;Серия IBL;;2285.92
64208;Термошкаф  IBL-80180600-800;Термошкафы ITProm;Серия IBL;;2375.56
64209;Термошкаф  IBL-80200600-800;Термошкафы ITProm;Серия IBL;;2188.55
64210;Термошкаф  IBL-80220600-800;Термошкафы ITProm;Серия IBL;;2395.65
64211;Термошкаф  IBL-100200600-800;Термошкафы ITProm;Серия IBL;;2605.85
64212;Термошкаф  IBL-120180600-800;Термошкафы ITProm;Серия IBL;;2846.96
64213;Термошкаф  IBL-120200600-1200;Термошкафы ITProm;Серия IBL;;2928.88
64214;Термошкаф  IBL-120220600-1200;Термошкафы ITProm;Серия IBL;;3214.81
64215;Термошкаф  IBL-60200800-800;Термошкафы ITProm;Серия IBL;;2564.12
64216;Термошкаф  IBL-80200800-800;Термошкафы ITProm;Серия IBL;;2423.47
64217;Термошкаф  IBL-120200800-1200;Термошкафы ITProm;Серия IBL;;3324.55
64218;Термошкаф  IBV-3040200-45;Термошкафы ITProm;Серия IBV;;350.85
64219;Термошкаф  IBV-4040200-100;Термошкафы ITProm;Серия IBV;;370.94
64220;Термошкаф  IBV-4050200-100;Термошкафы ITProm;Серия IBV;;391.03
64221;Термошкаф  IBV-4060200-100;Термошкафы ITProm;Серия IBV;;418.85
64222;Термошкаф  IBV-5050200-100;Термошкафы ITProm;Серия IBV;;425.04
64223;Термошкаф  IBV-5070200-150;Термошкафы ITProm;Серия IBV;;483.77
64224;Термошкаф  IBV-6060200-150;Термошкафы ITProm;Серия IBV;;482.22
64225;Термошкаф  IBV-3030210-45;Термошкафы ITProm;Серия IBV;;374.03
64226;Термошкаф  IBV-3040210-45;Термошкафы ITProm;Серия IBV;;389.49
64227;Термошкаф  IBV-3830210-45;Термошкафы ITProm;Серия IBV;;380.21
64228;Термошкаф  IBV-3838210-100;Термошкафы ITProm;Серия IBV;;391.03
64229;Термошкаф  IBV-3860210-100;Термошкафы ITProm;Серия IBV;;440.49
64230;Термошкаф  IBV-4050210-100;Термошкафы ITProm;Серия IBV;;431.22
64231;Термошкаф  IBV-5050210-100;Термошкафы ITProm;Серия IBV;;472.95
64232;Термошкаф  IBV-6038210-100;Термошкафы ITProm;Серия IBV;;459.04
64233;Термошкаф  IBV-6060210-150;Термошкафы ITProm;Серия IBV;;516.22
64234;Термошкаф  IBV-6076210-150;Термошкафы ITProm;Серия IBV;;588.87
64235;Термошкаф  IBV-7676210-250;Термошкафы ITProm;Серия IBV;;1156.1
64236;Термошкаф  IBV-10076210-250;Термошкафы ITProm;Серия IBV;;1105.09
64237;Термошкаф  IBV-4040250-100;Термошкафы ITProm;Серия IBV;;176.2
64238;Термошкаф  IBV-4050250-100;Термошкафы ITProm;Серия IBV;;409.58
64239;Термошкаф  IBV-4060250-100;Термошкафы ITProm;Серия IBV;;440.49
64240;Термошкаф  IBV-4065250-150;Термошкафы ITProm;Серия IBV;;183.92
64241;Термошкаф  IBV-5070250-150;Термошкафы ITProm;Серия IBV;;502.31
64242;Термошкаф  IBV-6060250-150;Термошкафы ITProm;Серия IBV;;530.13
64243;Термошкаф  IBV-6080250-250;Термошкафы ITProm;Серия IBV;;701.69
64244;Термошкаф  IBV-60100250-250;Термошкафы ITProm;Серия IBV;;772.79
64245;Термошкаф  IBV-6565250-250;Термошкафы ITProm;Серия IBV;;194.74
64246;Термошкаф  IBV-4080300-150;Термошкафы ITProm;Серия IBV;;191.65
64247;Термошкаф  IBV-5050300-100;Термошкафы ITProm;Серия IBV;;559.5
64248;Термошкаф  IBV-6060300-150;Термошкафы ITProm;Серия IBV;;523.95
64249;Термошкаф  IBV-6080300-250;Термошкафы ITProm;Серия IBV;;724.88
64250;Термошкаф  IBV-60100300-250;Термошкафы ITProm;Серия IBV;;820.7
64251;Термошкаф  IBV-60120300-250;Термошкафы ITProm;Серия IBV;;863.98
64252;Термошкаф  IBV-7676300-250;Термошкафы ITProm;Серия IBV;;843.89
64253;Термошкаф  IBV-8060300-250;Термошкафы ITProm;Серия IBV;;942.81
64254;Термошкаф  IBV-8080300-250;Термошкафы ITProm;Серия IBV;;822.25
64255;Термошкаф  IBV-80100300-250;Термошкафы ITProm;Серия IBV;;916.53
64256;Термошкаф  IBV-80120300-400;Термошкафы ITProm;Серия IBV;;1061.82
64257;Термошкаф  IBV-100100300-400;Термошкафы ITProm;Серия IBV;;1156.1
64258;Термошкаф  IBV-100120300-400;Термошкафы ITProm;Серия IBV;;1329.2
64259;Термошкаф  IBV-100140300-400;Термошкафы ITProm;Серия IBV;;1520.85
64260;Термошкаф  IBV-3860350-100;Термошкафы ITProm;Серия IBV;;582.68
64261;Термошкаф  IBV-6038350-100;Термошкафы ITProm;Серия IBV;;596.59
64262;Термошкаф  IBV-6060350-150;Термошкафы ITProm;Серия IBV;;653.78
64263;Термошкаф  IBV-6076350-250;Термошкафы ITProm;Серия IBV;;850.07
64264;Термошкаф  IBV-4060400-150;Термошкафы ITProm;Серия IBV;;190.11
64265;Термошкаф  IBV-6060400-150;Термошкафы ITProm;Серия IBV;;596.59
64266;Термошкаф  IBV-6080400-250;Термошкафы ITProm;Серия IBV;;1103.55
64267;Термошкаф  IBV-60100400-250;Термошкафы ITProm;Серия IBV;;1228.74
64268;Термошкаф  IBV-60120400-400;Термошкафы ITProm;Серия IBV;;1316.84
64269;Термошкаф  IBV-60180400-400;Термошкафы ITProm;Серия IBV;;1843.88
64270;Термошкаф  IBV-8080400-250;Термошкафы ITProm;Серия IBV;;1364.75
64271;Термошкаф  IBV-80100400-400;Термошкафы ITProm;Серия IBV;;1377.11
64272;Термошкаф  IBV-80120400-400;Термошкафы ITProm;Серия IBV;;1384.84
64273;Термошкаф  IBV-80180400-500;Термошкафы ITProm;Серия IBV;;2016.99
64274;Термошкаф  IBV-100120400-400;Термошкафы ITProm;Серия IBV;;1726.42
64275;Термошкаф  IBV-100140400-500;Термошкафы ITProm;Серия IBV;;2032.44
64276;Термошкаф  IBV-100180400-800;Термошкафы ITProm;Серия IBV;;2649.13
64277;Термошкаф  IBV-120120400-500;Термошкафы ITProm;Серия IBV;;1882.52
64278;Термошкаф  IBV-120180400-800;Термошкафы ITProm;Серия IBV;;2740.32
64279;Термошкаф  IBV-160180400-800;Термошкафы ITProm;Серия IBV;;3145.26
64280;Термошкаф  IBV-60120500-400;Термошкафы ITProm;Серия IBV;;1794.42
64281;Термошкаф  IBV-60140500-400;Термошкафы ITProm;Серия IBV;;1823.79
64282;Термошкаф  IBV-60160500-400;Термошкафы ITProm;Серия IBV;;1907.25
64283;Термошкаф  IBV-60200500-400;Термошкафы ITProm;Серия IBV;;2024.71
64284;Термошкаф  IBV-80120500-400;Термошкафы ITProm;Серия IBV;;1908.79
64285;Термошкаф  IBV-80140500-500;Термошкафы ITProm;Серия IBV;;1936.62
64286;Термошкаф  IBV-80160500-500;Термошкафы ITProm;Серия IBV;;2021.62
64287;Термошкаф  IBV-80200500-800;Термошкафы ITProm;Серия IBV;;2343.1
64288;Термошкаф  IBV-120120500-500;Термошкафы ITProm;Серия IBV;;2431.2
64289;Термошкаф  IBV-120140500-800;Термошкафы ITProm;Серия IBV;;2684.68
64290;Термошкаф  IBV-120160500-800;Термошкафы ITProm;Серия IBV;;2814.51
64291;Термошкаф  IBV-180200500-1200;Термошкафы ITProm;Серия IBV;;3925.78
64292;Термошкаф  IBV-60180600-500;Термошкафы ITProm;Серия IBV;;2001.53
64293;Термошкаф  IBV-60200600-800;Термошкафы ITProm;Серия IBV;;2302.92
64294;Термошкаф  IBV-60220600-800;Термошкафы ITProm;Серия IBV;;2519.3
64295;Термошкаф  IBV-80180600-800;Термошкафы ITProm;Серия IBV;;2613.58
64296;Термошкаф  IBV-80200600-800;Термошкафы ITProm;Серия IBV;;2415.75
64297;Термошкаф  IBV-80220600-800;Термошкафы ITProm;Серия IBV;;2635.22
64298;Термошкаф  IBV-100200600-800;Термошкафы ITProm;Серия IBV;;2856.24
64299;Термошкаф  IBV-120180600-800;Термошкафы ITProm;Серия IBV;;3109.71
64300;Термошкаф  IBV-120200600-1200;Термошкафы ITProm;Серия IBV;;3197.81
64301;Термошкаф  IBV-120220600-1200;Термошкафы ITProm;Серия IBV;;3499.2
64302;Термошкаф  IBV-60200800-800;Термошкафы ITProm;Серия IBV;;2811.42
64303;Термошкаф  IBV-80200800-800;Термошкафы ITProm;Серия IBV;;2663.04
64304;Термошкаф  IBV-120200800-1200;Термошкафы ITProm;Серия IBV;;3615.12
64312;Реле влажности (гигростат) HI канальный, Alre;Аксессуары для термошкафов;Гигростаты;;26.14
64313;"Термошкаф 19"" T-600x380x350";"19"" термошкафы ITProm";;;695.24
64314;"Термошкаф 19"" TL-600x380x350";"19"" термошкафы ITProm";;;695.24
