TL-2333155-20-IP69;230;330;155;30;IP69;155
TL-3030155-30;300;300;155;30;IP66;154
TL-3830155-30;380;300;155;30;IP66;154
TL-304020-45;300;400;200;45;IP66;154
TL-404020-60;400;400;200;100;IP66;154
TL-405020-100;400;500;200;100;IP66;154
TL-406020-100;400;600;200;100;IP66;154
TL-505020-100;500;500;200;100;IP66;154
TL-507020-150;500;700;200;150;IP66;154
TL-606020-150;600;600;200;150;IP66;154
TL-1007621-250;1000;760;210;250;IP66;154
TL-303021-45;300;300;210;45;IP66;154
TL-304021-45;300;400;210;45;IP66;154
TL-383021-45;380;300;210;45;IP66;154
TL-383821-45;380;380;210;100;IP66;154
TL-386021-100;380;600;210;100;IP66;154
TL-405021-100;400;500;210;100;IP66;154
TL-505021-100;500;500;210;100;IP66;154
TL-603821-100;600;380;210;100;IP66;154
TL-606021-150;600;600;210;150;IP66;154
TL-607621-150;600;760;210;150;IP66;154
TL-767621-250;760;760;210;250;IP66;154
TL-404025-100-IP69;400;400;250;100;IP69;155
TL-405025-100;400;500;250;100;IP66;154
TL-406025-100;400;600;250;100;IP66;154
TL-406525-150-IP69;400;650;250;150;IP69;155
TL-505025-150;500;500;250;150;IP66;154
TL-507025-150;500;700;250;150;IP66;154
TL-6010025-250;600;1000;250;250;IP66;154
TL-606025-150;600;600;250;150;IP66;154
TL-608025-250;600;800;250;250;IP66;154
TL-656525-250-IP69;650;650;250;250;IP69;155
TL-10010030-400;1000;1000;300;400;IP66;154
TL-10012030-400;1000;1200;300;400;IP66;154
TL-10014030-400;1000;1400;300;400;IP66;154
TL-408030-150;400;800;300;150;IP66;154
TL-505030-100;500;500;300;100;IP66;154
TL-6010030-250;600;1000;300;250;IP66;154
TL-6012030-250;600;1200;300;250;IP66;154
TL-6014030-250;600;1400;300;250;IP66;154
TL-606030-150;600;600;300;150;IP66;154
TL-608030-250;600;800;300;250;IP66;154
TL-767630-250;760;760;300;250;IP66;154
TL-8010030-250;800;1000;300;250;IP66;154
TL-8012030-400;800;1200;300;400;IP66;154
TL-806030-250;800;600;300;250;IP66;154
TL-808030-250;800;800;300;250;IP66;154
TL-386035-100;380;600;350;100;IP66;154
TL-603835-100;600;380;350;100;IP66;154
TL-606035-150;600;600;350;150;IP66;154
TL-607635-250;600;760;350;250;IP66;154
TL-10012040-400;1000;1200;400;400;IP65;153
TL-10014040-500;1000;1400;400;500;IP65;153
TL-10018040-800;1000;1800;400;800;IP65;153
TL-12012040-500;1200;1200;400;500;IP65;153
TL-12018040-800;1200;1800;400;800;IP65;153
TL-16018040-800;1600;1800;400;800;IP65;153
TL-406040-150;400;600;400;150;IP65;153
TL-6010040-250;600;1000;400;250;IP65;153
TL-6012040-400;600;1200;400;400;
TL-6018040-400;600;1800;400;400;IP65;153
TL-606040-150;600;600;400;150;IP65;153
TL-608040-250;600;800;400;250;IP65;153
TL-8010040-400;800;1000;400;400;IP65;153
TL-8012040-400;800;1200;400;400;IP65;153
TL-8018040-500;800;1800;400;500;IP65;153
TL-808040-250;800;800;400;250;IP65;153
TL-12012050-500;1200;1200;500;500;IP65;153
TL-12014050-800;1200;1400;500;800;IP65;153
TL-12016050-800;1200;1600;500;800;IP65;153
TL-18020050-1200;1800;2000;500;1200;IP65;153
TL-6012050-400;600;1200;500;400;IP65;153
TL-6014050-400;600;1400;500;400;IP65;153
TL-6016050-400;600;1600;500;400;IP65;153
TL-6020050-400;600;2000;500;400;IP65;153
TL-8012050-400;800;1200;500;400;IP65;153
TL-8014050-500;800;1400;500;500;IP65;153
TL-8016050-500;800;1600;500;500;IP65;153
TL-8020050-800;800;2000;500;800;IP65;153
TL-10020060-800;1000;2000;600;800;IP65;153
TL-12018060-800;1200;1800;600;800;IP65;153
TL-12020060-1200;1200;2000;600;1200;IP65;153
TL-12022060-1200;1200;2200;600;1200;IP65;153
TL-6018060-500;600;1800;600;500;IP65;153
TL-6020060-800;600;2000;600;800;IP65;153
TL-6022060-800;600;2200;600;800;IP65;153
TL-8018060-800;800;1800;600;800;IP65;153
TL-8020060-800;800;2000;600;800;IP65;153
TL-8022060-800;800;2200;600;800;IP65;153
TL-12020080-1200;1200;2000;800;1200;IP65;153
TL-6020080-800;600;2000;800;800;IP65;153
TL-8020080-800;800;2000;800;800;IP65;153