Наименование позиции;Класс IP;Высота мм;Ширина мм;Глубина мм;Примечания;РУБ;ЕВРО;;
"Термошкаф 19"" ITPROM-9U";21-30;470;600;600;Сталь=2мм, замок сувальдный повышенной надежности, дверь сейфовая со скрытыми петлями, кабелевводы=10(d=22 мм) Утеплен, 1 розетка, 1 автомат 20А термостат на ногреватель, Нагреватель 100w;26800,00;412,31;;
"Термошкаф 19"" ITPROM 12U ";21-30;470;600;600;Сталь=1,5 мм, замок сувальдный повышенной надежности, дверь сейфовая со скрытыми петлями, кабелевводы=10(d=22 мм) Утеплен, 1 розетка, 1 автомат 20А термостат на ногреватель, Нагреватель 100w;27800,00;427,7;;
"Термошкаф 19"" ITPROM-12U";21-30;600;600;600;Сталь=2мм, замок сувальдный повышенной надежности, дверь сейфовая со скрытыми петлями, кабелевводы=10(d=22 мм) Утеплен, 1 розетка, 1 автомат 20А термостат на ногреватель, Нагреватель 100w;32000,00;492,31;;
"Термошкаф 19"" ITPROM-9U";21-32;470;600;450;Сталь=2мм, замок сувальдный, дверь со скрытыми петлями, кабелевводы=10(d=22 мм) Утеплен, 1 розетка, 1 автомат 20А термостат на ногреватель, Нагреватель 100w;25000,00;384,62;;
"Термошкаф 19"" ITPROM-9U ";21-33;470;600;450;Сталь=1,5мм, замок сувальдный, дверь со скрытыми петлями, кабелевводы=10(d=22 мм) Утеплен, 1 розетка, 1 автомат 20А термостат на ногреватель, Нагреватель 100w;24000,00;369,24;;
"Термошкаф 19"" ITPROM 12U ";21-35;650;600;450;Сталь=1,5мм, замок сувальдный, дверь со скрытыми петлями, кабелевводы=10(d=22 мм) Утеплен, 1 розетка, 1 автомат 20А термостат на ногреватель, Нагреватель 100w;27900,00;429,24;;
"Термошкаф 19"" ITPROM 15U";21-35;700;600;600;Сталь=1,5мм, замок сувальдный, дверь со скрытыми петлями, кабелевводы=10(d=22 мм) Утеплен, 1 розетка, 1 автомат 20А термостат на ногреватель, Нагреватель 100w;38000,00;584,62;;
"Термошкаф 19"" ITPROM-24U";21-30;1200;600;600;Сталь=2мм, замок сувальдный, дверь со скрытыми петлями, кабелевводы=2 универсальные, двудверная конструкция Утеплен, 1 розетка, 1 автомат 20А термостат на ногреватель, Нагреватель 150w;49800,00;766,16;;
"Термошкаф 19"" ITPROM24U";21-30;1200;600;800;Сталь=2мм, замок сувальдный, дверь со скрытыми петлями, кабелевводы=2 универсальные, двудверная конструкция Утеплен, 1 розетка, 1 автомат 20А термостат на ногреватель, Нагреватель 150w;58000,00;892,31;;
"Термошкаф 19"" ITPROM 42U";21-30;1963;600;600;Сталь=2мм, замок сувальдный, дверь со скрытыми петлями, кабелевводы=2 универсальные, двудверная конструкция Утеплен, 1 розетка, 1 автомат 20А термостат на ногреватель, Нагреватель 150w;75000,00;1153,85;;