серия VT;ПРОИЗВОДИТЕЛЬ;РАЗМЕРЫ Ш*В*Г;ЦЕНА В ЕВРО НДС;Дополнительно к шкафу панель нижняя или боковые стенки;ТЕРМОСТАТ DBK охлождение;ТЕРМОСТАТ DBK ОБОГРЕВ;ОБОГРЕВ по мощности см.артикул послед 2-3 цифры;РЕШЕТКА ФИЛЬТР DBK;РЕШЕТКА ФИЛЬТР DBK;Вентилятор N/N;Железная решотка защита вентилятора;Розетка на Din реку;Автомат на Din реку;Клейммы;DIN рейка +метизы;Утеплитель;ЦЕНА В ЕВРО ЗАКУПКА;ЦЕНА В РУБ. ЗАКУПКА;ЦЕНА В ЕВРО РОЗНИЦА;ЦЕНА В РУБ. Розница;;;КУРС ЕВРО
;ВЭ;300x400x200;39,09 €;;11,00 €;11,00 €;22,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;4,42 €;119,51 €;8 885,57 ?;227,07 €;16 882,58 ?;;;74,35р.
;ВЭ;400x400x200;45,38 €;;11,00 €;11,00 €;22,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;5,44 €;126,82 €;9 429,07 ?;240,96 €;17 915,23 ?;;;
;ВЭ;400x500x200;47,13 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;6,46 €;133,59 €;9 932,42 ?;253,82 €;18 871,59 ?;;;
;ВЭ;400x600x200;55,15 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;7,48 €;142,63 €;10 604,54 ?;271,00 €;20 148,63 ?;;;
;ВЭ;500x500x200;57,25 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;7,65 €;144,90 €;10 773,32 ?;275,31 €;20 469,30 ?;;;
;ВЭ;500x700x200;72,96 €;;11,00 €;11,00 €;28,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;10,30 €;165,26 €;12 287,08 ?;313,99 €;23 345,45 ?;;;
;ВЭ;600x600x200;72,26 €;;11,00 €;11,00 €;28,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;10,20 €;164,46 €;12 227,60 ?;312,47 €;23 232,44 ?;;;
;Риттал;300x300x210;48,18 €;;11,00 €;11,00 €;22,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;3,67 €;127,85 €;9 505,65 ?;242,92 €;18 060,73 ?;;;
;Риттал;300x400x210;52,40 €;;11,00 €;11,00 €;22,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;4,54 €;132,94 €;9 884,09 ?;252,59 €;18 779,77 ?;;;
;Риттал;380x300x210;49,27 €;;11,00 €;11,00 €;22,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;4,37 €;129,64 €;9 638,73 ?;246,32 €;18 313,59 ?;;;
;Риттал;380x380x210;52,24 €;;11,00 €;11,00 €;22,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;5,17 €;133,41 €;9 918,88 ?;253,48 €;18 845,88 ?;;;
;Риттал;380x600x210;64,05 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;6,27 €;150,32 €;11 176,29 ?;285,61 €;21 234,95 ?;;;
;Риттал;400x500x210;60,46 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;6,61 €;147,07 €;10 934,65 ?;279,43 €;20 775,84 ?;;;
;Риттал;500x500x210;73,40 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;7,82 €;161,22 €;11 986,71 ?;306,32 €;22 774,74 ?;;;
;Риттал;600x380x210;68,99 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;7,38 €;156,37 €;11 626,11 ?;297,10 €;22 089,61 ?;;;
;Риттал;600x600x210;83,55 €;;11,00 €;11,00 €;28,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;10,40 €;175,95 €;13 081,88 ?;334,31 €;24 855,58 ?;;;
;Риттал;600x760x210;106,43 €;;11,00 €;11,00 €;28,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;12,60 €;201,03 €;14 946,58 ?;381,96 €;28 398,50 ?;;;
;Риттал;760x760x210;255,50 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;15,25 €;393,75 €;29 275,31 ?;748,13 €;55 623,09 ?;;;
;Риттал;1000x760x210;234,12 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;19,20 €;376,32 €;27 979,39 ?;715,01 €;53 160,84 ?;;;
;;400x400x250;;;11,00 €;11,00 €;;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;6,12 €;60,12 €;4 469,92 ?;114,23 €;8 492,85 ?;;;
;ВЭ;400x500x250;52,36 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;7,23 €;139,59 €;10 378,52 ?;265,22 €;19 719,18 ?;;;
;ВЭ;400x600x250;61,79 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;8,33 €;150,12 €;11 161,42 ?;285,23 €;21 206,70 ?;;;
;;400x650x250;;;11,00 €;11,00 €;;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;8,88 €;62,88 €;4 675,13 ?;119,47 €;8 882,74 ?;;;
;ВЭ;500x700x250;78,19 €;;11,00 €;11,00 €;28,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;11,05 €;171,24 €;12 731,69 ?;325,36 €;24 190,22 ?;;;
;ВЭ;600x600x250;87,62 €;;11,00 €;11,00 €;28,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;11,22 €;180,84 €;13 445,45 ?;343,60 €;25 546,36 ?;;;
;ВЭ;600x800x250;102,28 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;14,04 €;239,32 €;17 793,44 ?;454,71 €;33 807,54 ?;;;
;ВЭ;600x1000x250;123,57 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;17,00 €;263,57 €;19 596,43 ?;500,78 €;37 233,22 ?;;;
;;650x650x250;;;11,00 €;11,00 €;;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;12,71 €;66,71 €;4 959,89 ?;126,75 €;9 423,79 ?;;;
;;400x800x300;;;11,00 €;11,00 €;;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;11,56 €;65,56 €;4 874,39 ?;124,56 €;9 261,33 ?;;;
;ВЭ;500x500x300;101,60 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;9,35 €;190,95 €;14 197,13 ?;362,81 €;26 974,55 ?;;;
;ВЭ;600x600x300;84,47 €;;11,00 €;11,00 €;28,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;12,24 €;178,71 €;13 287,09 ?;339,55 €;25 245,47 ?;;;
;ВЭ;600x800x300;108,91 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;15,30 €;247,21 €;18 380,06 ?;469,70 €;34 922,12 ?;;;
;ВЭ;600x1000x300;138,23 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;18,36 €;279,59 €;20 787,52 ?;531,22 €;39 496,28 ?;;;
;ВЭ;600x1200x300;150,10 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;21,42 €;294,52 €;21 897,56 ?;559,59 €;41 605,37 ?;;;
;Риттал;760x760x300;147,18 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;17,57 €;287,75 €;21 394,21 ?;546,73 €;40 649,00 ?;;;
;Риттал;800x600x300;183,00 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;15,30 €;321,30 €;23 888,66 ?;610,47 €;45 388,44 ?;;;
;Риттал;800x800x300;138,23 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;19,04 €;280,27 €;20 838,07 ?;532,51 €;39 592,34 ?;;;
;Риттал;800x1000x300;166,75 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;22,78 €;312,53 €;23 236,61 ?;593,81 €;44 149,55 ?;;;
;Риттал;800x1200x300;212,25 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;26,52 €;361,77 €;26 897,60 ?;687,36 €;51 105,44 ?;;;
;Риттал;1000x1000x300;243,73 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;27,20 €;393,93 €;29 288,70 ?;748,47 €;55 648,52 ?;;;
;Риттал;1000x1200x300;298,12 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;31,62 €;452,74 €;33 661,29 ?;860,21 €;63 956,46 ?;;;
;Риттал;1000x1400x300;358,96 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;36,04 €;518,00 €;38 513,30 ?;984,20 €;73 175,27 ?;;;
;Риттал;380x600x350;108,96 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;9,71 €;198,67 €;14 771,11 ?;377,47 €;28 065,12 ?;;;
;Риттал;600x380x350;113,66 €;;11,00 €;11,00 €;26,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;9,71 €;203,37 €;15 120,56 ?;386,40 €;28 729,06 ?;;;
;Риттал;600x600x350;127,47 €;;11,00 €;11,00 €;28,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;13,26 €;222,73 €;16 559,98 ?;423,19 €;31 463,95 ?;;;
;Риттал;600x760x350;150,80 €;;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;15,84 €;289,64 €;21 535,03 ?;550,32 €;40 916,56 ?;;;
;;400x600x400;;;11,00 €;11,00 €;;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;10,88 €;64,88 €;4 823,83 ?;123,27 €;9 165,27 ?;;;
;ВЭ;600x600x400;107,17 €;;11,00 €;11,00 €;28,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;14,28 €;203,45 €;15 126,51 ?;386,56 €;28 740,36 ?;;;
;Риттал;600x800x400+панель основания;184,15 €;51,42 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;17,68 €;376,25 €;27 974,19 ?;714,88 €;53 150,96 ?;;;
;Риттал;600x1000x400+панель основания;223,05 €;51,42 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;21,08 €;418,55 €;31 119,19 ?;795,25 €;59 126,47 ?;;;
;Риттал;600x1200x400;250,00 €;51,42 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;24,48 €;448,90 €;33 375,72 ?;852,91 €;63 413,86 ?;;;
;Риттал;600x1800x400+боковые стенки;385,60 €;84,96 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;34,68 €;628,24 €;46 709,64 ?;1 193,66 €;88 748,32 ?;;;
;Риттал;800x800x400+глухая панель;264,60 €;55,73 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;21,76 €;465,09 €;34 579,44 ?;883,67 €;65 700,94 ?;;;
;Риттал;800x1000x400+глухая панель;264,60 €;55,73 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;25,84 €;469,17 €;34 882,79 ?;891,42 €;66 277,30 ?;;;
;Риттал;800x1200x400+глухая панель;263,25 €;55,73 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;29,92 €;471,90 €;35 085,77 ?;896,61 €;66 662,95 ?;;;
;Риттал;800x1800x400 +боковые стенки;437,00 €;84,95 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;42,16 €;687,11 €;51 086,63 ?;1 305,51 €;97 064,59 ?;;;
;Риттал;1000x1200x400+глухая панель;369,85 €;60,04 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;35,36 €;588,25 €;43 736,39 ?;1 117,68 €;83 099,14 ?;;;
;Риттал;1000x1400x400+глухая панель;469,00 €;60,04 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;40,12 €;692,16 €;51 462,10 ?;1 315,10 €;97 777,98 ?;;;
;Риттал;1000x1800x400 +боковые стенки;573,66 €;84,95 €;11,00 €;11,00 €;140,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;49,64 €;902,25 €;67 082,29 ?;1 714,28 €;127 456,35 ?;;;
;Риттал;1200x1200x400+глухая панель;413,04 €;64,24 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;40,80 €;641,08 €;47 664,30 ?;1 218,05 €;90 562,17 ?;;;
;Риттал;1200x1800x400+боковые стенки;597,37 €;84,96 €;11,00 €;11,00 €;140,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;57,12 €;933,45 €;69 402,01 ?;1 773,56 €;131 863,81 ?;;;
;Риттал;1600x1800x400;805,18 €;;11,00 €;11,00 €;140,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;72,08 €;1 071,26 €;79 648,18 ?;2 035,39 €;151 331,54 ?;;;
;Риттал;600x1200x500+боковые стенки;377,03 €;83,69 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;27,54 €;611,26 €;45 447,11 ?;1 161,39 €;86 349,50 ?;;;
;Риттал;600x1400x500+боковые стенки;386,93 €;79,90 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;31,28 €;621,11 €;46 179,53 ?;1 180,11 €;87 741,10 ?;;;
;Риттал;600x1600x500+боковые стенки;403,30 €;88,40 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;35,02 €;649,72 €;48 306,68 ?;1 234,47 €;91 782,70 ?;;;
;Риттал;600x2000x500+боковые стенки;423,49 €;100,65 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;42,50 €;689,64 €;51 274,73 ?;1 310,32 €;97 421,99 ?;;;
;Риттал;800x1200x500+боковые стенки;410,11 €;83,68 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;33,32 €;650,11 €;48 335,68 ?;1 235,21 €;91 837,79 ?;;;
;Риттал;800x1400x500+боковые стенки;418,84 €;79,90 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;37,74 €;659,48 €;49 032,34 ?;1 253,01 €;93 161,44 ?;;;
;Риттал;800x1600x500+боковые стенки;435,19 €;88,40 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;42,16 €;688,75 €;51 208,56 ?;1 308,63 €;97 296,27 ?;;;
;Риттал;800x2000x500+боковые стенки;452,43 €;100,65 €;11,00 €;11,00 €;140,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;51,00 €;798,08 €;59 337,25 ?;1 516,35 €;112 740,77 ?;;;
;Риттал;1200x1200x500+боковые стенки;576,62 €;83,68 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;44,88 €;828,18 €;61 575,18 ?;1 573,54 €;116 992,85 ?;;;
;Риттал;1200x1400x500+боковые стенки;589,67 €;79,90 €;11,00 €;11,00 €;140,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;50,66;914,23 €;67 973,00 ?;1 737,04 €;129 148,70 ?;;;
;Риттал;1200x1600x500+боковые стенки;619,62 €;88,40 €;11,00 €;11,00 €;140,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;56,44 €;958,46 €;71 261,50 ?;1 821,07 €;135 396,85 ?;;;
;Риттал;1800x2000x500;1 009,75 €;;11,00 €;11,00 €;180,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;93,50 €;1 337,25 €;99 424,54 ?;2 540,78 €;188 906,62 ?;;;
;Риттал;600x1800x600+боковые стенки;418,84 €;97,24 €;11,00 €;11,00 €;69,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;42,84 €;681,92 €;50 700,75 ?;1 295,65 €;96 331,43 ?;;;
;Риттал;600x2000x600+боковые стенки;433,67 €;110,06 €;11,00 €;11,00 €;140,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;46,92 €;784,65 €;58 338,73 ?;1 490,84 €;110 843,58 ?;;;
;Риттал;600x2200x600+боковые стенки;494,92 €;117,98 €;11,00 €;11,00 €;140,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;51,00 €;857,90 €;63 784,86 ?;1 630,01 €;121 191,24 ?;;;
;Риттал;800x1800x600+боковые стенки;537,39 €;107,64 €;11,00 €;11,00 €;140,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;51,00 €;890,03 €;66 173,73 ?;1 691,06 €;125 730,09 ?;;;
;Риттал;800x2000x600+боковые стенки;462,99 €;110,06 €;11,00 €;11,00 €;140,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;55,76 €;822,81 €;61 175,92 ?;1 563,34 €;116 234,25 ?;;;
;Риттал;800x2200x600+боковые стенки;524,99 €;117,98 €;11,00 €;11,00 €;140,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;60,52 €;897,49 €;66 728,38 ?;1 705,23 €;126 783,92 ?;;;
;Риттал;1000x2000x600+боковые стенки;604,25 €;110,07 €;11,00 €;11,00 €;140,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;64,60 €;972,92 €;72 336,60 ?;1 848,55 €;137 439,54 ?;;;
;Риттал;1200x1800x600+боковые стенки;690,40 €;107,64 €;11,00 €;11,00 €;140,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;67,32 €;1 059,36 €;78 763,42 ?;2 012,78 €;149 650,49 ?;;;
;Риттал;1200x2000x600+боковые стенки;671,78 €;110,07 €;11,00 €;11,00 €;180,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;73,44 €;1 089,29 €;80 988,71 ?;2 069,65 €;153 878,55 ?;;;
;Риттал;1200x2200x600+боковые стенки;760,50 €;117,98 €;11,00 €;11,00 €;180,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;79,56 €;1 192,04 €;88 628,17 ?;2 264,88 €;168 393,53 ?;;;
;Риттал;600x2000x800+боковые стенки;578,53 €;129,45 €;11,00 €;11,00 €;140,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;55,76 €;957,74 €;71 207,97 ?;1 819,71 €;135 295,14 ?;;;
;Риттал;800x2000x800+боковые стенки;518,63 €;129,45 €;11,00 €;11,00 €;140,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;65,28 €;907,36 €;67 462,22 ?;1 723,98 €;128 178,21 ?;;;
;Риттал;1200x2000x800+боковые стенки;783,36 €;129,45 €;11,00 €;11,00 €;180,00 €;9,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;84,32 €;1 231,13 €;91 534,52 ?;2 339,15 €;173 915,58 ?;;;